Timestamp,Education_Level,Age_Group,Gender,Occupation,Income_Group,City_Category,Cinema_Visit,OTT_User,OTT_Subscription,OTT_Hours,Home_Movie_Preference,Cinema_Experience,OTT_Convenience,Premium_OTT_WTP,Ticket_Price_Barrier,Blockbuster_Choice,OTT_Price_Response,Release_Gap,Decision_Factor,OTT_Hours_Numeric,Choice_Simple,Response_Date,Response_Hour,OTT_Engagement_Score,Cinema_Experience_Score,Price_Sensitivity_Score
2025-11-08 12:40:28-05:30,Graduate,15–24,Female,Student,"<25,000",Tier 2,Yes,Yes,No,1–3 hours,4.0,3.0,3.0,2.0,5.0,Wait and watch on OTT (₹299/month),Definitely no,2 month,Ott,2.0,OTT,2025-11-08,12,2.0,3.0,5.0
2025-11-08 12:42:28-05:30,Postgraduate or above,15–24,Male,Student,"<25,000",Small town / rural,Yes,Yes,Yes,4–7 hours,1.0,5.0,1.0,1.0,1.0,Pay ₹499 to watch on OTT same day as theatre (PVOD),Not sure,1 week,Wonderful ,5.5,PVOD,2025-11-08,12,5.5,5.0,1.0
2025-11-08 12:44:00-05:30,Graduate,25–34,Male,Self-Employed,"<25,000",Not Specified,Yes,No,No,Less than 1 hour,1.0,1.0,1.0,1.0,1.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely no,1 month,Theatre,,Cinema,2025-11-08,12,,1.0,1.0
2025-11-08 12:47:08-05:30,Graduate,25–34,Female,Student,"<25,000",Tier 2,No,Yes,Yes,1–3 hours,3.0,3.0,3.0,2.0,2.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,No gap (same day release),Both are okay ,2.0,Cinema,2025-11-08,12,2.0,3.0,2.0
2025-11-08 12:48:43-05:30,Graduate,15–24,Female,Salaried,Not Specified,Tier 2,No,Yes,No,Less than 1 hour,5.0,3.0,4.0,2.0,3.0,Not Specified,Not sure,No gap (same day release),,,Other,2025-11-08,12,,3.0,3.0
2025-11-08 12:48:55-05:30,Graduate,15–24,Male,Student,>2 Lakh,Small town / rural,Yes,Yes,Yes,Less than 1 hour,2.0,5.0,3.0,2.0,1.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely no,2 month,Watching a movie in theatre is best when the movie story and fans crazyness combine its a next level experience in ott get enjoyment but not that much that's why watching movie in theatre is the best.,,Cinema,2025-11-08,12,,5.0,1.0
2025-11-08 12:50:34-05:30,Graduate,15–24,Male,Student,"25,000-49,999",Small town / rural,Yes,No,No,1–3 hours,3.0,3.0,4.0,3.0,3.0,Wait and watch on OTT (₹299/month),Not sure,1 month,,2.0,OTT,2025-11-08,12,2.0,3.0,3.0
2025-11-08 12:50:59-05:30,Postgraduate or above,15–24,Male,Student,Not Specified,Small town / rural,Yes,Yes,Yes,1–3 hours,3.0,4.0,2.0,1.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably no,2 month,I generally watch movie review before watching any movie if the reviews are good then I go to the cinema ,2.0,Cinema,2025-11-08,12,2.0,4.0,5.0
2025-11-08 12:55:54-05:30,Postgraduate or above,15–24,Female,Student,>2 Lakh,Small town / rural,Yes,yes;no,No,Less than 1 hour,5.0,2.0,3.0,2.0,5.0,Pay ₹499 to watch on OTT same day as theatre (PVOD),Not sure,No gap (same day release),,,PVOD,2025-11-08,12,,2.0,5.0
2025-11-08 12:56:37-05:30,High school,15–24,Female,Student,"<25,000",Small town / rural,Yes,Yes,No,1–3 hours,4.0,3.0,3.0,2.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,1 month,Ott,2.0,Cinema,2025-11-08,12,2.0,3.0,3.0
2025-11-08 13:01:02-05:30,Graduate,15–24,Female,Student,>2 Lakh,Small town / rural,No,Yes,No,4–7 hours,5.0,2.0,4.0,1.0,1.0,Not Specified,Not sure,No gap (same day release),Self vibe ,5.5,Other,2025-11-08,13,5.5,2.0,1.0
2025-11-08 13:03:18-05:30,Graduate,15–24,Female,Student,"<25,000",Small town / rural,Yes,Yes,Yes,1–3 hours,3.0,3.0,3.0,2.0,5.0,Wait and watch on OTT (₹299/month),Probably no,1 month,Ticket price ,2.0,OTT,2025-11-08,13,2.0,3.0,5.0
2025-11-08 13:03:53-05:30,Postgraduate or above,15–24,Female,Student,"<25,000",Tier 2,Yes,No,No,Not Specified,2.0,4.0,1.0,2.0,2.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely no,1 month,,,Cinema,2025-11-08,13,,4.0,2.0
2025-11-08 13:04:17-05:30,Postgraduate or above,15–24,Male,Student,"<25,000",Tier 2,Yes,Yes,Yes,1–3 hours,5.0,1.0,5.0,1.0,5.0,Wait and watch on OTT (₹299/month),Not sure,No gap (same day release),,2.0,OTT,2025-11-08,13,2.0,1.0,5.0
2025-11-08 13:08:31-05:30,Graduate,15–24,Male,Student,"<25,000",Metro,No,No,No,Less than 1 hour,1.0,2.0,1.0,1.0,1.0,Not Specified,Probably no,No gap (same day release),I don't like both I like to saw cartoons on YouTube ,,Other,2025-11-08,13,,2.0,1.0
2025-11-08 13:13:02-05:30,Graduate,15–24,Female,Student,"<25,000",Tier 2,Yes,Yes,Yes,4–7 hours,4.0,3.0,4.0,3.0,2.0,Wait and watch on OTT (₹299/month),Not sure,2 week,It's cinematic views and ratings,5.5,OTT,2025-11-08,13,5.5,3.0,2.0
2025-11-08 13:16:33-05:30,Graduate,15–24,Male,Student,"<25,000",Tier 2,Yes,Yes,No,Less than 1 hour,3.0,3.0,3.0,3.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,1 month,,,Cinema,2025-11-08,13,,3.0,3.0
2025-11-08 13:29:52-05:30,Postgraduate or above,15–24,Male,Student,>2 Lakh,Small town / rural,Yes,Yes,Yes,1–3 hours,5.0,3.0,4.0,4.0,4.0,Pay ₹499 to watch on OTT same day as theatre (PVOD),Definitely yes,No gap (same day release),OTT,2.0,PVOD,2025-11-08,13,2.0,3.0,4.0
2025-11-08 13:31:02-05:30,Graduate,25–34,Male,Salaried,"<25,000",Tier 2,Yes,No,No,Less than 1 hour,1.0,5.0,1.0,1.0,1.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,No gap (same day release),Theater,,Cinema,2025-11-08,13,,5.0,1.0
2025-11-08 13:32:42-05:30,Postgraduate or above,15–24,Male,Student,Not Specified,Tier 2,Yes,Yes,Yes,15+ hours,3.0,4.0,4.0,4.0,2.0,Pay ₹499 to watch on OTT same day as theatre (PVOD),Probably yes,No gap (same day release),Na,15.0,PVOD,2025-11-08,13,15.0,4.0,2.0
2025-11-08 13:37:37-05:30,Graduate,15–24,Male,Student,"25,000-49,999",Tier 2,Yes,Yes,Yes,4–7 hours,1.0,5.0,3.0,1.0,2.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably yes,1 month,The hype for the movie ,5.5,Cinema,2025-11-08,13,5.5,5.0,2.0
2025-11-08 13:38:08-05:30,Graduate,25–34,Male,Self-Employed,"25,000-49,999",Tier 2,Yes,Yes,Yes,Less than 1 hour,5.0,3.0,5.0,1.0,5.0,Wait and watch on OTT (₹299/month),Definitely no,No gap (same day release),,,OTT,2025-11-08,13,,3.0,5.0
2025-11-08 13:43:25-05:30,Graduate,15–24,Male,Student,"50,000–99,999",Small town / rural,No,Yes,No,8–14 hours,1.0,2.0,2.0,3.0,3.0,Wait and watch on OTT (₹299/month),Not sure,1 month,OTT,11.0,OTT,2025-11-08,13,11.0,2.0,3.0
2025-11-08 13:44:45-05:30,Postgraduate or above,25–34,Male,Salaried,1–2 Lakh,Metro,Yes,Yes,Yes,4–7 hours,4.0,1.0,4.0,4.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely no,1 month,With group of frields or family ,5.5,Cinema,2025-11-08,13,5.5,1.0,5.0
2025-11-08 13:45:13-05:30,Graduate,15–24,Male,Student,"50,000–99,999",Small town / rural,Yes,Yes,Yes,8–14 hours,5.0,3.0,3.0,1.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,1 month,The price of tickets I am willing to pay for a movie to watch in theatres.,11.0,Cinema,2025-11-08,13,11.0,3.0,5.0
2025-11-08 13:49:56-05:30,Postgraduate or above,25–34,Female,Salaried,"50,000–99,999",Tier 2,Yes,Yes,Yes,Less than 1 hour,3.0,5.0,4.0,2.0,2.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably no,2 month,The experience and quality of movie,,Cinema,2025-11-08,13,,5.0,2.0
2025-11-08 13:53:41-05:30,Graduate,25–34,Female,Salaried,"25,000-49,999",Metro,No,Yes,No,1–3 hours,4.0,1.0,5.0,2.0,5.0,Wait and watch on OTT (₹299/month),Probably no,1 month,Good content on ott with lots of movies and shows in just a single amount in  month ...rather then paying a single amount for the whole movie,2.0,OTT,2025-11-08,13,2.0,1.0,5.0
2025-11-08 13:54:22-05:30,Graduate,15–24,Male,Salaried,"50,000–99,999",Metro,Yes,Yes,Yes,1–3 hours,4.0,3.0,4.0,4.0,1.0,Wait and watch on OTT (₹299/month),Probably yes,No gap (same day release),My laziness ,2.0,OTT,2025-11-08,13,2.0,3.0,1.0
2025-11-08 13:59:40-05:30,Graduate,15–24,Female,Student,"25,000-49,999",Small town / rural,No,No,No,Less than 1 hour,5.0,3.0,4.0,3.0,3.0,Wait and watch on OTT (₹299/month),Probably no,1 week,Watching in theatre will be fun but watching in ott will be comfort,,OTT,2025-11-08,13,,3.0,3.0
2025-11-08 14:00:20-05:30,Postgraduate or above,15–24,Female,Student,1–2 Lakh,Tier 2,Yes,Yes,Yes,1–3 hours,3.0,3.0,3.0,3.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,2 month,,2.0,Cinema,2025-11-08,14,2.0,3.0,5.0
2025-11-08 14:00:59-05:30,High school,25–34,Male,Salaried,"<25,000",Small town / rural,Yes,Yes,No,1–3 hours,4.0,4.0,3.0,5.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,1 month,Pata Ni Sis,2.0,Cinema,2025-11-08,14,2.0,4.0,3.0
2025-11-08 14:02:09-05:30,Postgraduate or above,15–24,Female,Student,"50,000–99,999",Tier 2,Yes,Yes,Yes,1–3 hours,4.0,3.0,4.0,2.0,4.0,Wait and watch on OTT (₹299/month),Probably yes,1 week,,2.0,OTT,2025-11-08,14,2.0,3.0,4.0
2025-11-08 14:07:34-05:30,Graduate,25–34,Female,Self-Employed,"<25,000",Small town / rural,Yes,Yes,No,1–3 hours,3.0,3.0,5.0,2.0,4.0,Wait and watch on OTT (₹299/month),Probably no,1 month,"I would like to movies when I'm with friends for a get together outside, but I  would like to watch comfortablely at home always on ott",2.0,OTT,2025-11-08,14,2.0,3.0,4.0
2025-11-08 14:08:03-05:30,Postgraduate or above,15–24,Female,Student,"<25,000",Tier 2,Yes,Yes,No,1–3 hours,5.0,3.0,4.0,5.0,4.0,Wait and watch on OTT (₹299/month),Definitely yes,1 week,Ott,2.0,OTT,2025-11-08,14,2.0,3.0,4.0
2025-11-08 14:08:25-05:30,Graduate,15–24,Male,Salaried,1–2 Lakh,Metro,Yes,Yes,Yes,4–7 hours,5.0,2.0,4.0,3.0,2.0,Wait and watch on OTT (₹299/month),Probably yes,1 month,"Comfort, laziness",5.5,OTT,2025-11-08,14,5.5,2.0,2.0
2025-11-08 14:15:26-05:30,Graduate,15–24,Female,Student,1–2 Lakh,Metro,Yes,Yes,Yes,1–3 hours,4.0,3.0,3.0,4.0,1.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,No gap (same day release),Can watch a movie multiple times on ott but not theatre,2.0,Cinema,2025-11-08,14,2.0,3.0,1.0
2025-11-08 14:50:00-05:30,Postgraduate or above,25–34,Male,Student,"<25,000",Small town / rural,Yes,Yes,No,Less than 1 hour,1.0,3.0,3.0,3.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely yes,1 month,,,Cinema,2025-11-08,14,,3.0,3.0
2025-11-08 14:56:01-05:30,Graduate,25–34,Male,Salaried,"<25,000",Small town / rural,Yes,No,No,4–7 hours,1.0,,1.0,1.0,1.0,Wait and watch on OTT (₹299/month),Definitely yes,1 month,Enjoy ,5.5,OTT,2025-11-08,14,5.5,,1.0
2025-11-08 15:06:30-05:30,Postgraduate or above,15–24,Male,Student,1–2 Lakh,Small town / rural,Yes,Yes,Yes,1–3 hours,4.0,4.0,4.0,1.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely no,1 month,"Wheather the film is good or not ,the content ",2.0,Cinema,2025-11-08,15,2.0,4.0,5.0
2025-11-08 15:16:06-05:30,Postgraduate or above,15–24,Female,Student,>2 Lakh,Small town / rural,Yes,Yes,Yes,1–3 hours,3.0,4.0,3.0,1.0,2.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,2 week,Watching a movie in theatre,2.0,Cinema,2025-11-08,15,2.0,4.0,2.0
2025-11-08 15:33:16-05:30,Postgraduate or above,45–54,Female,Salaried,"50,000–99,999",Small town / rural,Yes,Yes,Yes,1–3 hours,5.0,1.0,5.0,5.0,1.0,Wait and watch on OTT (₹299/month),Probably yes,2 week,Nothing specific depends on mood and company ,2.0,OTT,2025-11-08,15,2.0,1.0,1.0
2025-11-08 16:24:25-05:30,High school,15–24,Female,Student,1–2 Lakh,Small town / rural,No,No,No,1–3 hours,5.0,3.0,4.0,1.0,2.0,Pay ₹499 to watch on OTT same day as theatre (PVOD),Probably no,No gap (same day release),In OTT we can be in our own comfortable zone and can enjoy the show according to our will.,2.0,PVOD,2025-11-08,16,2.0,3.0,2.0
2025-11-08 17:29:19-05:30,Postgraduate or above,15–24,Female,Student,1–2 Lakh,Tier 2,Yes,Yes,Yes,Less than 1 hour,4.0,4.0,5.0,3.0,2.0,Wait and watch on OTT (₹299/month),Probably yes,2 week,OTT platforms for its comfort and convenience.,,OTT,2025-11-08,17,,4.0,2.0
2025-11-08 18:55:59-05:30,Graduate,15–24,Male,Student,"<25,000",Tier 2,No,Yes,Yes,1–3 hours,5.0,4.0,5.0,5.0,1.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely yes,1 week,Theater becoming these day couple hotspot ,2.0,Cinema,2025-11-08,18,2.0,4.0,1.0
2025-11-08 19:29:25-05:30,Graduate,15–24,Female,Other,"<25,000",Small town / rural,No,Yes,No,1–3 hours,2.0,1.0,1.0,1.0,1.0,Wait and watch on OTT (₹299/month),Not sure,1 week,Ott,2.0,OTT,2025-11-08,19,2.0,1.0,1.0
2025-11-08 19:44:08-05:30,Graduate,15–24,Female,Student,"25,000-49,999",Small town / rural,Yes,Yes,Yes,1–3 hours,4.0,4.0,3.0,1.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely no,1 week,price ,2.0,Cinema,2025-11-08,19,2.0,4.0,5.0
2025-11-08 19:54:07-05:30,Postgraduate or above,15–24,Female,Student,"25,000-49,999",Small town / rural,No,No,No,Not Specified,5.0,4.0,3.0,3.0,5.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,1 month,Movie theatre gives the feel and togetherness when going with family. The entire experience makes a memorable moment ,,Cinema,2025-11-08,19,,4.0,5.0
2025-11-08 19:54:09-05:30,Graduate,15–24,Female,Student,"50,000–99,999",Small town / rural,Yes,Yes,No,1–3 hours,3.0,4.0,4.0,3.0,5.0,Wait and watch on OTT (₹299/month),Not sure,No gap (same day release),Dono apni jagah sahi hai but dosto ke sath to bahar jane me hi maja hai,2.0,OTT,2025-11-08,19,2.0,4.0,5.0
2025-11-08 20:48:36-05:30,Postgraduate or above,15–24,Female,Student,"<25,000",Small town / rural,Yes,No,No,Less than 1 hour,3.0,3.0,4.0,1.0,3.0,Wait and watch on OTT (₹299/month),Probably no,2 week,Busy schedule ,,OTT,2025-11-08,20,,3.0,3.0
2025-11-08 21:32:11-05:30,Graduate,15–24,Female,Student,"<25,000",Small town / rural,Yes,No,No,Not Specified,1.0,5.0,,,,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably yes,1 month,Theatre,,Cinema,2025-11-08,21,,5.0,
2025-11-08 21:39:31-05:30,High school,15–24,Male,Student,"25,000-49,999",Small town / rural,Yes,No,No,Less than 1 hour,3.0,4.0,4.0,2.0,2.0,Pay ₹499 to watch on OTT same day as theatre (PVOD),Not sure,1 month,"Theaters,  because of the movie's visuals , quality , screen size , dolby atmos etc. ",,PVOD,2025-11-08,21,,4.0,2.0
2025-11-08 21:41:02-05:30,Graduate,15–24,Female,Salaried,"25,000-49,999",Small town / rural,No,Yes,Yes,1–3 hours,3.0,2.0,5.0,3.0,5.0,Wait and watch on OTT (₹299/month),Probably no,1 week,"I usually not watch much movies but as much i watch, prefer online.",2.0,OTT,2025-11-08,21,2.0,2.0,5.0
2025-11-08 21:53:45-05:30,Postgraduate or above,15–24,Male,Student,"50,000–99,999",Small town / rural,Yes,No,No,Less than 1 hour,1.0,3.0,4.0,2.0,4.0,Wait and watch on OTT (₹299/month),Not sure,1 week,Chlfcnc,,OTT,2025-11-08,21,,3.0,4.0
2025-11-08 22:55:40-05:30,Postgraduate or above,15–24,Male,Student,"50,000–99,999",Small town / rural,Yes,No,Yes,Less than 1 hour,3.0,4.0,3.0,2.0,4.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Probably no,1 month,Movie genre ,,Cinema,2025-11-08,22,,4.0,4.0
2025-11-09 08:14:15-05:30,High school,35–44,Female,Other,"25,000-49,999",Tier 2,Yes,No,No,Less than 1 hour,5.0,3.0,2.0,2.0,3.0,Wait and watch on OTT (₹299/month),Probably no,No gap (same day release),ghar pe hai toh OTT better cuz of traeling an stuff,,OTT,2025-11-09,8,,3.0,3.0
2025-11-09 12:35:06-05:30,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,not specified,not specified,not specified,Not Specified,,,,,,Not Specified,Not Specified,Not Specified,,,Other,2025-11-09,12,,,
2025-11-09 12:37:27-05:30,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,not specified,not specified,not specified,Not Specified,,,,,,Not Specified,Not Specified,Not Specified,,,Other,2025-11-09,12,,,
2025-11-09 15:08:11-05:30,Postgraduate or above,15–24,Female,Student,"<25,000",Small town / rural,Yes,No,No,Less than 1 hour,2.0,3.0,3.0,2.0,4.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,2 week,I want to watch movies in theatre because it is so relaxing and mind freshing media,,Cinema,2025-11-09,15,,3.0,4.0
2025-11-09 15:08:36-05:30,Postgraduate or above,15–24,Female,Student,"<25,000",Small town / rural,Yes,No,No,Less than 1 hour,2.0,3.0,3.0,2.0,4.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Not sure,2 week,I want to watch some blockboster movie in theaters but in some reasons like expensive ticket price I can't afford but I have no OTT subscription also ,,Cinema,2025-11-09,15,,3.0,4.0
2025-11-09 16:04:55-05:30,Graduate,25–34,Female,Self-Employed,1–2 Lakh,Metro,No,Yes,Yes,Less than 1 hour,3.0,4.0,3.0,2.0,4.0,Wait and watch on OTT (₹299/month),Not sure,1 month,My interest in the movie,,OTT,2025-11-09,16,,4.0,4.0
2025-11-09 18:34:06-05:30,Postgraduate or above,25–34,Female,Other,>2 Lakh,Metro,Yes,Yes,Yes,1–3 hours,4.0,3.0,3.0,3.0,3.0,"Watch in cinema (₹300 ticket, 1 month before OTT)",Definitely yes,1 month,"I go to the theatre for the spectacle, but I stay home on OTT for the comfort and convenience... and honestly? Comfort is winning more and more these days!""",2.0,Cinema,2025-11-09,18,2.0,3.0,3.0
2025-11-10 00:37:06-05:30,Postgraduate or above,25–34,Male,Salaried,"50,000–99,999",Tier 2,No,No,No,15+ hours,5.0,3.0,3.0,2.0,4.0,Pay ₹499 to watch on OTT same day as theatre (PVOD),Not sure,2 week,Nice,15.0,PVOD,2025-11-10,0,15.0,3.0,4.0
2025-11-10 09:06:35-05:30,Postgraduate or above,25–34,Female,Student,>2 Lakh,Metro,Yes,Yes,Yes,1–3 hours,5.0,3.0,5.0,1.0,5.0,Wait and watch on OTT (₹299/month),Probably no,1 month,Self paced and more content within a specific rice.,2.0,OTT,2025-11-10,9,2.0,3.0,5.0
2025-11-10 09:33:48-05:30,Postgraduate or above,15–24,Female,Student,"50,000–99,999",Small town / rural,Yes,Yes,Yes,4–7 hours,3.0,3.0,3.0,3.0,5.0,Wait and watch on OTT (₹299/month),Probably no,1 week,Nothing ,5.5,OTT,2025-11-10,9,5.5,3.0,5.0
